user	board	session	speed	uer	cer	SUBJECT
hyh	2	3	56.47168	0	0	4
crj	2	3	61.97027435	0.011111111	0	5
yzk	2	3	39.94663357	0	0.025210084	6
gtf	2	3	44.92898368	0	0.056910569	7
fkz	2	3	41.88220508	0.010204082	0.008474576	8
gyz	2	3	55.597848	0	0.056910569	9
wsj	2	3	56.50683591	0	0.016949153	10
zyh	2	3	55.06376405	0	0.087301587	11
gjl	2	3	60.54593477	0.02247191	0.035087719	12
cxz	2	3	29.6713193	0	0.043103448	13
lzj	2	3	39.48719872	0.056179775	0.201438849	14
lqt	2	3	65.50560708	0	0.027027027	15
cxl	2	4	32.2784494	0.045454545	0.187969925	1
czf	2	4	57.47792618	0.011363636	0	2
dyh	2	4	36.85047914	0	0.026785714	3
hyh	2	4	52.43366221	0.022727273	0.018018018	4
crj	2	4	46.30046781	0	0.043859649	5
yzk	2	4	34.86354784	0.010309278	0.00877193	6
gtf	2	4	46.24659474	0.010309278	0.017699115	7
fkz	2	4	35.94322575	0	0.034782609	8
gyz	2	4	49.1707733	0.020618557	0.10483871	9
wsj	2	4	35.1076691	0.010309278	0	10
zyh	2	4	61.69683768	0	0.034782609	11
gjl	2	4	55.77333962	0.020833333	0.041237113	12
cxz	2	4	33.08651097	0.020833333	0.034188034	13
lzj	2	4	38.22465167	0	0.197183099	14
lqt	2	4	68.47665377	0	0.051020408	15
cxl	2	5	51.35260345	0	0.12	1
czf	2	5	73.43383333	0	0.035087719	2
dyh	2	5	40.41345321	0	0	3
hyh	2	5	41.90129695	0.010989011	0.009009009	4
crj	2	5	49.4324492	0	0.008928571	5
yzk	2	5	31.08308943	0	0.033333333	6
gtf	2	5	39.35016471	0	0	7
fkz	2	5	33.07117988	0.010204082	0.016949153	8
gyz	2	5	40.33528462	0.020408163	0.041322314	9
wsj	2	5	39.22214758	0.040816327	0.035087719	10
zyh	2	5	49.78355949	0.011904762	0.106870229	11
gjl	2	5	57.26001598	0.05952381	0.02	12
cxz	2	5	32.99127972	0	0.021978022	13
lzj	2	5	55.07479135	0.035714286	0.052083333	14
lqt	2	5	74.89714957	0	0	15
cxl	3	1	65.47542223	0	0.059405941	1
czf	3	1	66.7615198	0.011904762	0	2
dyh	3	1	54.77289946	0	0.020618557	3
hyh	3	1	57.83767678	0.023809524	0.053191489	4
crj	3	1	64.83088403	0	0.011111111	5
yzk	3	1	37.4458686	0.012658228	0.038461538	6
gtf	3	1	53.94674079	0	0.074766355	7
fkz	3	1	48.49241832	0	0.00990099	8
gyz	3	1	52.73659655	0	0.091743119	9
wsj	3	1	51.60996675	0	0.03960396	10
zyh	3	1	62.47045984	0.020408163	0.096491228	11
gjl	3	1	51.66116401	0.020408163	0.081632653	12
cxz	3	1	33.4184944	0	0.049180328	13
lzj	3	1	44.10393207	0.040816327	0.152173913	14
lqt	3	1	53.49739044	0	0.043478261	15
cxl	3	2	49.53932599	0.010416667	0.175182482	1
czf	3	2	71.53397483	0.010416667	0.008695652	2
dyh	3	2	46.10017717	0.010416667	0.042372881	3
hyh	3	2	45.91712169	0.010416667	0.034482759	4
crj	3	2	56.17047561	0.03125	0.008547009	5
yzk	3	2	43.33315806	0	0.010638298	6
gtf	3	2	41.38242048	0.013157895	0.021276596	7
fkz	3	2	42.94551016	0	0.010526316	8
gyz	3	2	57.72165693	0	0.020833333	9
wsj	3	2	73.95966143	0.026315789	0	10
zyh	3	2	68.76372795	0.010309278	0.03125	11
gjl	3	2	45.8809859	0.06185567	0.034188034	12
cxz	3	2	42.46955972	0	0.034782609	13
lzj	3	2	61.24132475	0.020618557	0.11023622	14
lqt	3	2	61.1725758	0	0.076271186	15
cxl	3	3	67.64937934	0	0.03539823	1
czf	3	3	64.17459474	0.011235955	0.008928571	2
dyh	3	3	38.73867878	0.02247191	0.017857143	3
hyh	3	3	49.43244836	0.02247191	0.051282051	4
crj	3	3	50.26010965	0	0.051282051	5
yzk	3	3	45.14068238	0.033333333	0.027027027	6
gtf	3	3	50.71778646	0.011111111	0.026785714	7
fkz	3	3	39.21954915	0.011111111	0.009090909	8
gyz	3	3	59.28182935	0	0.052173913	9
wsj	3	3	43.71033494	0	0	10
zyh	3	3	49.44407954	0	0.03539823	11
gjl	3	3	38.95798377	0.091836735	0.042372881	12
cxz	3	3	42.48547697	0	0.033333333	13
lzj	3	3	55.57170301	0.010204082	0.056451613	14
lqt	3	3	47.12050186	0.06122449	0	15
cxl	3	4	45.95301512	0.04494382	0.090909091	1
czf	3	4	94.82019693	0.02247191	0.009090909	2
dyh	3	4	45.8336008	0	0.018018018	3
hyh	3	4	52.28266708	0	0.076271186	4
crj	3	4	51.89277772	0	0.03539823	5
